"covariate","mean","95% CI","species"
"Evergreen forest",6166,"1069-25535","Brown-headed Cowbird"
"Mixed forest",45922,"25535-50000","Brown-headed Cowbird"
"Shrub scrub",6166,"50-41845","Brown-headed Cowbird"
"Grassland herbaceous",21457,"4128-50000","Brown-headed Cowbird"
"Pasture hay",3108,"1069-6166","Brown-headed Cowbird"
"Developed low intensity",21457,"2089-47961","Brown-headed Nuthatch"
"Cultivated crop",25535,"1069-50000","Brown-headed Nuthatch"
"Woody wetland",23496,"2089-47961","Brown-headed Nuthatch"
"Emergent wetland",19418,"1069-50000","Brown-headed Nuthatch"
"Ocean",15341,"1069-50000","Brown-headed Nuthatch"
"Lakes",15341,"50-50000","Brown-headed Nuthatch"
"Rivers",29612,"2089-50000","Brown-headed Nuthatch"
"Elevation",23496,"1069-50000","Brown-headed Nuthatch"
"Aspect",13302,"2089-47961","Brown-headed Nuthatch"
"Slope",15341,"50-47961","Brown-headed Nuthatch"
"Precipitation",20000,"1000-50000","Brown-headed Nuthatch"
"Developed high intensity",11263,"50-47961","Brown-headed Nuthatch"
"Max temperature",16000,"1000-50000","Brown-headed Nuthatch"
"Barren land",27573,"19418-39806","Brown-headed Nuthatch"
"Deciduous forest",15341,"1069-50000","Brown-headed Nuthatch"
"Evergreen forest",3108,"50-39806","Brown-headed Nuthatch"
"Mixed forest",11263,"1069-47961","Brown-headed Nuthatch"
"Shrub scrub",19418,"1069-50000","Brown-headed Nuthatch"
"Grassland herbaceous",23496,"3108-47961","Brown-headed Nuthatch"
"Pasture hay",31651,"1069-50000","Brown-headed Nuthatch"
"Developed low intensity",7186,"50-41845","Brown Creeper"
"Cultivated crop",19418,"2089-50000","Brown Creeper"
"Woody wetland",5147,"50-45922","Brown Creeper"
"Emergent wetland",21457,"50-50000","Brown Creeper"
"Ocean",29612,"1069-50000","Brown Creeper"
"Lakes",11263,"1069-47961","Brown Creeper"
"Rivers",25535,"1069-50000","Brown Creeper"
"Elevation",17380,"50-50000","Brown Creeper"
"Aspect",13302,"50-47961","Brown Creeper"
"Slope",21457,"50-50000","Brown Creeper"
"Precipitation",22000,"2000-50000","Brown Creeper"
"Developed high intensity",15341,"50-50000","Brown Creeper"
"Max temperature",8000,"1000-42000","Brown Creeper"
"Barren land",17380,"50-50000","Brown Creeper"
"Deciduous forest",27573,"3108-50000","Brown Creeper"
"Evergreen forest",50,"50-2089","Brown Creeper"
"Mixed forest",8205,"50-47961","Brown Creeper"
"Shrub scrub",11263,"50-45922","Brown Creeper"
"Grassland herbaceous",25535,"50-50000","Brown Creeper"
"Pasture hay",17380,"50-50000","Brown Creeper"
"Developed low intensity",9224,"50-47961","Brown Pelican"
"Cultivated crop",25535,"1069-50000","Brown Pelican"
"Woody wetland",19418,"50-50000","Brown Pelican"
"Emergent wetland",23496,"1069-50000","Brown Pelican"
"Ocean",1069,"1069-1069","Brown Pelican"
"Lakes",19418,"50-47961","Brown Pelican"
"Rivers",8205,"1069-41845","Brown Pelican"
"Elevation",23496,"1069-47961","Brown Pelican"
"Aspect",1069,"1069-2089","Brown Pelican"
"Slope",15341,"1069-47961","Brown Pelican"
"Precipitation",22000,"1000-50000","Brown Pelican"
"Developed high intensity",10244,"50-47961","Brown Pelican"
"Max temperature",20000,"1000-50000","Brown Pelican"
"Barren land",21457,"1069-50000","Brown Pelican"
"Deciduous forest",39806,"17380-50000","Brown Pelican"
"Evergreen forest",15341,"1069-50000","Brown Pelican"
"Mixed forest",21457,"50-50000","Brown Pelican"
"Shrub scrub",13302,"1069-50000","Brown Pelican"
"Grassland herbaceous",21457,"50-50000","Brown Pelican"
"Pasture hay",15341,"50-50000","Brown Pelican"
"Developed low intensity",4128,"1069-13302","Brown Thrasher"
"Cultivated crop",50,"50-1069","Brown Thrasher"
"Woody wetland",15341,"50-50000","Brown Thrasher"
"Emergent wetland",15341,"1069-47961","Brown Thrasher"
"Ocean",21457,"50-50000","Brown Thrasher"
"Lakes",25535,"1069-50000","Brown Thrasher"
"Rivers",25535,"6166-47961","Brown Thrasher"
"Elevation",6166,"50-43884","Brown Thrasher"
"Aspect",15341,"1069-47961","Brown Thrasher"
"Slope",31651,"6166-50000","Brown Thrasher"
"Precipitation",36000,"3000-50000","Brown Thrasher"
"Developed high intensity",47961,"39806-50000","Brown Thrasher"
"Max temperature",28000,"5000-50000","Brown Thrasher"
"Barren land",25535,"50-50000","Brown Thrasher"
"Deciduous forest",5147,"50-31651","Brown Thrasher"
"Evergreen forest",35729,"4128-50000","Brown Thrasher"
"Mixed forest",31651,"15341-47961","Brown Thrasher"
"Shrub scrub",21457,"50-50000","Brown Thrasher"
"Grassland herbaceous",15341,"50-50000","Brown Thrasher"
"Pasture hay",1069,"50-2089","Brown Thrasher"
"Developed low intensity",6166,"1069-45922","Bullock's Oriole"
"Cultivated crop",13302,"3108-37767","Bullock's Oriole"
"Woody wetland",13302,"50-45922","Bullock's Oriole"
"Emergent wetland",8205,"1069-45922","Bullock's Oriole"
"Ocean",6166,"1069-43884","Bullock's Oriole"
"Lakes",7186,"2089-47961","Bullock's Oriole"
"Rivers",8205,"50-45922","Bullock's Oriole"
"Elevation",21457,"50-50000","Bullock's Oriole"
"Aspect",11263,"1069-47961","Bullock's Oriole"
"Slope",13302,"50-47961","Bullock's Oriole"
"Precipitation",11000,"1000-46000","Bullock's Oriole"
"Developed high intensity",8205,"50-47961","Bullock's Oriole"
"Max temperature",2000,"1000-5000","Bullock's Oriole"
"Barren land",10244,"50-47961","Bullock's Oriole"
"Deciduous forest",13302,"50-50000","Bullock's Oriole"
"Evergreen forest",3108,"50-31651","Bullock's Oriole"
"Mixed forest",19418,"50-50000","Bullock's Oriole"
"Shrub scrub",19418,"1069-50000","Bullock's Oriole"
"Grassland herbaceous",3108,"1069-29612","Bullock's Oriole"
"Pasture hay",5147,"50-37767","Bullock's Oriole"
"Developed low intensity",19418,"1069-50000","Burrowing Owl"
"Cultivated crop",31651,"7186-50000","Burrowing Owl"
"Woody wetland",15341,"50-47961","Burrowing Owl"
"Emergent wetland",19418,"50-50000","Burrowing Owl"
"Ocean",19418,"50-50000","Burrowing Owl"
"Lakes",23496,"1069-50000","Burrowing Owl"
"Rivers",17380,"50-50000","Burrowing Owl"
"Elevation",17380,"50-47961","Burrowing Owl"
"Aspect",19418,"50-50000","Burrowing Owl"
"Slope",13302,"2089-45922","Burrowing Owl"
"Precipitation",20000,"1000-50000","Burrowing Owl"
"Developed high intensity",17380,"50-50000","Burrowing Owl"
"Max temperature",16000,"1000-48000","Burrowing Owl"
"Barren land",19418,"50-50000","Burrowing Owl"
"Deciduous forest",23496,"1069-50000","Burrowing Owl"
"Evergreen forest",15341,"50-50000","Burrowing Owl"
"Mixed forest",19418,"50-50000","Burrowing Owl"
"Shrub scrub",13302,"50-47961","Burrowing Owl"
"Grassland herbaceous",4128,"50-45922","Burrowing Owl"
"Pasture hay",23496,"1069-50000","Burrowing Owl"
"Developed low intensity",11263,"1069-45922","Bushtit"
"Cultivated crop",23496,"1069-50000","Bushtit"
"Woody wetland",27573,"2089-47961","Bushtit"
"Emergent wetland",29612,"7186-47961","Bushtit"
"Ocean",23496,"1069-50000","Bushtit"
"Lakes",19418,"50-50000","Bushtit"
"Rivers",17380,"1069-50000","Bushtit"
"Elevation",19418,"50-47961","Bushtit"
"Aspect",19418,"1069-50000","Bushtit"
"Slope",15341,"1069-50000","Bushtit"
"Precipitation",26000,"2000-50000","Bushtit"
"Developed high intensity",13302,"50-50000","Bushtit"
"Max temperature",8000,"1000-40000","Bushtit"
"Barren land",17380,"1069-47961","Bushtit"
"Deciduous forest",25535,"3108-50000","Bushtit"
"Evergreen forest",13302,"1069-47961","Bushtit"
"Mixed forest",21457,"50-50000","Bushtit"
"Shrub scrub",11263,"50-47961","Bushtit"
"Grassland herbaceous",13302,"1069-47961","Bushtit"
"Pasture hay",11263,"50-47961","Bushtit"
"Developed low intensity",17380,"1069-47961","Cactus Wren"
"Cultivated crop",7186,"3108-19418","Cactus Wren"
"Woody wetland",10244,"3108-41845","Cactus Wren"
"Emergent wetland",11263,"1069-50000","Cactus Wren"
"Ocean",19418,"1069-50000","Cactus Wren"
"Lakes",21457,"1069-43884","Cactus Wren"
"Rivers",19418,"1069-47961","Cactus Wren"
"Elevation",13302,"50-50000","Cactus Wren"
"Aspect",23496,"1069-50000","Cactus Wren"
"Slope",21457,"1069-50000","Cactus Wren"
"Precipitation",18000,"2000-48000","Cactus Wren"
"Developed high intensity",17380,"1069-50000","Cactus Wren"
"Max temperature",28000,"1000-50000","Cactus Wren"
"Barren land",13302,"50-45922","Cactus Wren"
"Deciduous forest",17380,"50-50000","Cactus Wren"
"Evergreen forest",33690,"2089-50000","Cactus Wren"
"Mixed forest",15341,"1069-50000","Cactus Wren"
"Shrub scrub",6166,"50-47961","Cactus Wren"
"Grassland herbaceous",10244,"50-50000","Cactus Wren"
"Pasture hay",21457,"1069-50000","Cactus Wren"
"Developed low intensity",25535,"50-50000","California Gull"
"Cultivated crop",23496,"1069-50000","California Gull"
"Woody wetland",27573,"1069-50000","California Gull"
"Emergent wetland",6166,"1069-43884","California Gull"
"Ocean",6166,"1069-43884","California Gull"
"Lakes",2089,"1069-31651","California Gull"
"Rivers",11263,"1069-47961","California Gull"
"Elevation",17380,"50-50000","California Gull"
"Aspect",3108,"1069-13302","California Gull"
"Slope",7186,"50-47961","California Gull"
"Precipitation",20000,"1000-50000","California Gull"
"Developed high intensity",25535,"1069-50000","California Gull"
"Max temperature",22000,"1000-50000","California Gull"
"Barren land",33690,"7186-50000","California Gull"
"Deciduous forest",29612,"50-50000","California Gull"
"Evergreen forest",13302,"50-47961","California Gull"
"Mixed forest",15341,"50-50000","California Gull"
"Shrub scrub",15341,"50-50000","California Gull"
"Grassland herbaceous",15341,"1069-50000","California Gull"
"Pasture hay",19418,"1069-47961","California Gull"
"Developed low intensity",27573,"4128-47961","California Quail"
"Cultivated crop",25535,"8205-43884","California Quail"
"Woody wetland",31651,"2089-50000","California Quail"
"Emergent wetland",13302,"50-43884","California Quail"
"Ocean",37767,"2089-50000","California Quail"
"Lakes",39806,"8205-50000","California Quail"
"Rivers",17380,"50-50000","California Quail"
"Elevation",3108,"50-13302","California Quail"
"Aspect",33690,"50-50000","California Quail"
"Slope",33690,"11263-50000","California Quail"
"Precipitation",18000,"1000-50000","California Quail"
"Developed high intensity",5147,"50-39806","California Quail"
"Max temperature",14000,"1000-50000","California Quail"
"Barren land",15341,"50-47961","California Quail"
"Deciduous forest",21457,"50-50000","California Quail"
"Evergreen forest",11263,"50-50000","California Quail"
"Mixed forest",5147,"1069-37767","California Quail"
"Shrub scrub",2089,"50-8205","California Quail"
"Grassland herbaceous",29612,"50-50000","California Quail"
"Pasture hay",13302,"3108-45922","California Quail"
"Developed low intensity",3108,"1069-7186","California Scrub-Jay"
"Cultivated crop",19418,"50-50000","California Scrub-Jay"
"Woody wetland",19418,"1069-50000","California Scrub-Jay"
"Emergent wetland",15341,"50-50000","California Scrub-Jay"
"Ocean",33690,"7186-50000","California Scrub-Jay"
"Lakes",9224,"1069-41845","California Scrub-Jay"
"Rivers",6166,"50-45922","California Scrub-Jay"
"Elevation",31651,"1069-50000","California Scrub-Jay"
"Aspect",21457,"2089-47961","California Scrub-Jay"
"Slope",11263,"3108-29612","California Scrub-Jay"
"Precipitation",18000,"1000-50000","California Scrub-Jay"
"Developed high intensity",21457,"2089-47961","California Scrub-Jay"
"Max temperature",4000,"1000-14000","California Scrub-Jay"
"Barren land",10244,"1069-43884","California Scrub-Jay"
"Deciduous forest",25535,"50-50000","California Scrub-Jay"
"Evergreen forest",1069,"50-35729","California Scrub-Jay"
"Mixed forest",9224,"2089-45922","California Scrub-Jay"
"Shrub scrub",3108,"1069-43884","California Scrub-Jay"
"Grassland herbaceous",31651,"1069-50000","California Scrub-Jay"
"Pasture hay",15341,"4128-35729","California Scrub-Jay"
"Developed low intensity",9224,"50-47961","California Thrasher"
"Cultivated crop",17380,"1069-50000","California Thrasher"
"Woody wetland",10244,"1069-47961","California Thrasher"
"Emergent wetland",10244,"50-47961","California Thrasher"
"Ocean",21457,"1069-50000","California Thrasher"
"Lakes",15341,"50-47961","California Thrasher"
"Rivers",27573,"1069-50000","California Thrasher"
"Elevation",11263,"50-47961","California Thrasher"
"Aspect",31651,"2089-50000","California Thrasher"
"Slope",15341,"50-50000","California Thrasher"
"Precipitation",20000,"1000-50000","California Thrasher"
"Developed high intensity",17380,"50-50000","California Thrasher"
"Max temperature",22000,"1000-50000","California Thrasher"
"Barren land",10244,"50-47961","California Thrasher"
"Deciduous forest",29612,"1069-50000","California Thrasher"
"Evergreen forest",25535,"50-50000","California Thrasher"
"Mixed forest",23496,"1069-50000","California Thrasher"
"Shrub scrub",3108,"50-39806","California Thrasher"
"Grassland herbaceous",15341,"2089-47961","California Thrasher"
"Pasture hay",21457,"50-50000","California Thrasher"
"Developed low intensity",8205,"50-47961","California Towhee"
"Cultivated crop",21457,"2089-50000","California Towhee"
"Woody wetland",15341,"50-50000","California Towhee"
"Emergent wetland",23496,"5147-50000","California Towhee"
"Ocean",29612,"50-50000","California Towhee"
"Lakes",8205,"1069-47961","California Towhee"
"Rivers",23496,"50-47961","California Towhee"
"Elevation",17380,"2089-47961","California Towhee"
"Aspect",21457,"50-50000","California Towhee"
"Slope",7186,"2089-50000","California Towhee"
"Precipitation",26000,"1000-50000","California Towhee"
"Developed high intensity",15341,"8205-25535","California Towhee"
"Max temperature",11000,"1000-44000","California Towhee"
"Barren land",19418,"1069-47961","California Towhee"
"Deciduous forest",13302,"1069-50000","California Towhee"
"Evergreen forest",37767,"4128-50000","California Towhee"
"Mixed forest",21457,"50-50000","California Towhee"
"Shrub scrub",25535,"50-50000","California Towhee"
"Grassland herbaceous",11263,"1069-39806","California Towhee"
"Pasture hay",29612,"13302-41845","California Towhee"
"Developed low intensity",17380,"1069-50000","Calliope Hummingbird"
"Cultivated crop",21457,"1069-50000","Calliope Hummingbird"
"Woody wetland",21457,"1069-47961","Calliope Hummingbird"
"Emergent wetland",23496,"50-50000","Calliope Hummingbird"
"Ocean",21457,"50-50000","Calliope Hummingbird"
"Lakes",17380,"50-50000","Calliope Hummingbird"
"Rivers",23496,"50-50000","Calliope Hummingbird"
"Elevation",25535,"50-50000","Calliope Hummingbird"
"Aspect",9224,"1069-45922","Calliope Hummingbird"
"Slope",19418,"2089-47961","Calliope Hummingbird"
"Precipitation",14000,"1000-48000","Calliope Hummingbird"
"Developed high intensity",21457,"1069-47961","Calliope Hummingbird"
"Max temperature",28000,"5000-50000","Calliope Hummingbird"
"Barren land",19418,"50-50000","Calliope Hummingbird"
"Deciduous forest",13302,"50-50000","Calliope Hummingbird"
"Evergreen forest",4128,"1069-10244","Calliope Hummingbird"
"Mixed forest",19418,"2089-50000","Calliope Hummingbird"
"Shrub scrub",13302,"1069-47961","Calliope Hummingbird"
"Grassland herbaceous",15341,"1069-47961","Calliope Hummingbird"
"Pasture hay",17380,"1069-50000","Calliope Hummingbird"
"Developed low intensity",50,"50-50","Canada Goose"
"Cultivated crop",13302,"50-47961","Canada Goose"
"Woody wetland",11263,"50-47961","Canada Goose"
"Emergent wetland",1069,"50-1069","Canada Goose"
"Ocean",15341,"50-50000","Canada Goose"
"Lakes",50,"50-50","Canada Goose"
"Rivers",5147,"50-47961","Canada Goose"
"Elevation",27573,"1069-50000","Canada Goose"
"Aspect",1069,"1069-1069","Canada Goose"
"Slope",1069,"1069-1069","Canada Goose"
"Precipitation",20000,"1000-50000","Canada Goose"
"Developed high intensity",9224,"2089-35729","Canada Goose"
"Max temperature",8000,"1000-46000","Canada Goose"
"Barren land",23496,"3108-50000","Canada Goose"
"Deciduous forest",50,"50-50","Canada Goose"
"Evergreen forest",50,"50-1069","Canada Goose"
"Mixed forest",7186,"50-45922","Canada Goose"
"Shrub scrub",10244,"50-47961","Canada Goose"
"Grassland herbaceous",19418,"4128-47961","Canada Goose"
"Pasture hay",19418,"7186-39806","Canada Goose"
"Developed low intensity",23496,"1069-50000","Canada Jay"
"Cultivated crop",19418,"50-50000","Canada Jay"
"Woody wetland",15341,"1069-47961","Canada Jay"
"Emergent wetland",19418,"50-50000","Canada Jay"
"Ocean",19418,"50-50000","Canada Jay"
"Lakes",17380,"50-50000","Canada Jay"
"Rivers",19418,"1069-50000","Canada Jay"
"Elevation",19418,"50-50000","Canada Jay"
"Aspect",19418,"50-50000","Canada Jay"
"Slope",11263,"1069-47961","Canada Jay"
"Precipitation",22000,"1000-50000","Canada Jay"
"Developed high intensity",23496,"50-50000","Canada Jay"
"Max temperature",6000,"1000-24000","Canada Jay"
"Barren land",17380,"50-47961","Canada Jay"
"Deciduous forest",17380,"1069-50000","Canada Jay"
"Evergreen forest",3108,"1069-15341","Canada Jay"
"Mixed forest",19418,"50-50000","Canada Jay"
"Shrub scrub",23496,"1069-50000","Canada Jay"
"Grassland herbaceous",17380,"50-50000","Canada Jay"
"Pasture hay",25535,"50-50000","Canada Jay"
"Developed low intensity",25535,"1069-50000","Canvasback"
"Cultivated crop",15341,"50-47961","Canvasback"
"Woody wetland",17380,"50-50000","Canvasback"
"Emergent wetland",6166,"50-39806","Canvasback"
"Ocean",21457,"1069-50000","Canvasback"
"Lakes",19418,"50-50000","Canvasback"
"Rivers",23496,"1069-50000","Canvasback"
"Elevation",19418,"50-50000","Canvasback"
"Aspect",17380,"1069-50000","Canvasback"
"Slope",25535,"1069-50000","Canvasback"
"Precipitation",20000,"1000-50000","Canvasback"
"Developed high intensity",21457,"1069-50000","Canvasback"
"Max temperature",20000,"1000-50000","Canvasback"
"Barren land",21457,"1069-50000","Canvasback"
"Deciduous forest",17380,"1069-47961","Canvasback"
"Evergreen forest",17380,"2089-47961","Canvasback"
"Mixed forest",19418,"1069-50000","Canvasback"
"Shrub scrub",19418,"50-50000","Canvasback"
"Grassland herbaceous",21457,"1069-50000","Canvasback"
"Pasture hay",13302,"1069-47961","Canvasback"
"Developed low intensity",19418,"1069-47961","Canyon Towhee"
"Cultivated crop",13302,"1069-50000","Canyon Towhee"
"Woody wetland",21457,"1069-50000","Canyon Towhee"
"Emergent wetland",13302,"50-45922","Canyon Towhee"
"Ocean",19418,"50-50000","Canyon Towhee"
"Lakes",21457,"50-50000","Canyon Towhee"
"Rivers",19418,"50-50000","Canyon Towhee"
"Elevation",13302,"50-47961","Canyon Towhee"
"Aspect",25535,"1069-50000","Canyon Towhee"
"Slope",23496,"5147-47961","Canyon Towhee"
"Precipitation",14000,"1000-48000","Canyon Towhee"
"Developed high intensity",21457,"50-50000","Canyon Towhee"
"Max temperature",11000,"1000-44000","Canyon Towhee"
"Barren land",11263,"50-47961","Canyon Towhee"
"Deciduous forest",23496,"50-50000","Canyon Towhee"
"Evergreen forest",25535,"1069-50000","Canyon Towhee"
"Mixed forest",23496,"50-50000","Canyon Towhee"
"Shrub scrub",50,"50-50","Canyon Towhee"
"Grassland herbaceous",23496,"4128-50000","Canyon Towhee"
"Pasture hay",19418,"50-50000","Canyon Towhee"
"Developed low intensity",9224,"1069-47961","Canyon Wren"
"Cultivated crop",17380,"50-47961","Canyon Wren"
"Woody wetland",23496,"1069-50000","Canyon Wren"
"Emergent wetland",19418,"50-50000","Canyon Wren"
"Ocean",19418,"50-50000","Canyon Wren"
"Lakes",15341,"1069-50000","Canyon Wren"
"Rivers",19418,"1069-50000","Canyon Wren"
"Elevation",10244,"50-47961","Canyon Wren"
"Aspect",23496,"1069-50000","Canyon Wren"
"Slope",1069,"1069-1069","Canyon Wren"
"Precipitation",22000,"2000-50000","Canyon Wren"
"Developed high intensity",17380,"50-50000","Canyon Wren"
"Max temperature",14000,"1000-48000","Canyon Wren"
"Barren land",13302,"50-47961","Canyon Wren"
"Deciduous forest",21457,"2089-50000","Canyon Wren"
"Evergreen forest",19418,"50-50000","Canyon Wren"
"Mixed forest",21457,"1069-50000","Canyon Wren"
"Shrub scrub",10244,"50-47961","Canyon Wren"
"Grassland herbaceous",21457,"50-50000","Canyon Wren"
"Pasture hay",17380,"50-50000","Canyon Wren"
"Developed low intensity",7186,"2089-29612","Carolina Chickadee"
"Cultivated crop",1069,"50-3108","Carolina Chickadee"
"Woody wetland",19418,"1069-50000","Carolina Chickadee"
"Emergent wetland",1069,"50-11263","Carolina Chickadee"
"Ocean",5147,"1069-43884","Carolina Chickadee"
"Lakes",33690,"2089-50000","Carolina Chickadee"
"Rivers",39806,"15341-50000","Carolina Chickadee"
"Elevation",33690,"2089-50000","Carolina Chickadee"
"Aspect",19418,"2089-50000","Carolina Chickadee"
"Slope",31651,"50-50000","Carolina Chickadee"
"Precipitation",24000,"1000-50000","Carolina Chickadee"
"Developed high intensity",50,"50-50","Carolina Chickadee"
"Max temperature",48000,"38000-50000","Carolina Chickadee"
"Barren land",29612,"1069-50000","Carolina Chickadee"
"Deciduous forest",1069,"50-33690","Carolina Chickadee"
"Evergreen forest",13302,"50-45922","Carolina Chickadee"
"Mixed forest",19418,"50-50000","Carolina Chickadee"
"Shrub scrub",15341,"1069-47961","Carolina Chickadee"
"Grassland herbaceous",13302,"50-47961","Carolina Chickadee"
"Pasture hay",31651,"50-50000","Carolina Chickadee"
"Developed low intensity",9224,"1069-41845","Carolina Wren"
"Cultivated crop",31651,"1069-50000","Carolina Wren"
"Woody wetland",35729,"4128-50000","Carolina Wren"
"Emergent wetland",31651,"50-50000","Carolina Wren"
"Ocean",41845,"6166-50000","Carolina Wren"
"Lakes",45922,"25535-50000","Carolina Wren"
"Rivers",19418,"1069-50000","Carolina Wren"
"Elevation",31651,"50-50000","Carolina Wren"
"Aspect",27573,"50-50000","Carolina Wren"
"Slope",31651,"11263-50000","Carolina Wren"
"Precipitation",34000,"2000-50000","Carolina Wren"
"Developed high intensity",50,"50-50","Carolina Wren"
"Max temperature",12000,"1000-50000","Carolina Wren"
"Barren land",23496,"1069-50000","Carolina Wren"
"Deciduous forest",1069,"1069-1069","Carolina Wren"
"Evergreen forest",37767,"19418-50000","Carolina Wren"
"Mixed forest",45922,"29612-50000","Carolina Wren"
"Shrub scrub",17380,"50-50000","Carolina Wren"
"Grassland herbaceous",19418,"50-50000","Carolina Wren"
"Pasture hay",21457,"2089-50000","Carolina Wren"
"Developed low intensity",31651,"2089-50000","Caspian Tern"
"Cultivated crop",21457,"1069-50000","Caspian Tern"
"Woody wetland",8205,"50-45922","Caspian Tern"
"Emergent wetland",9224,"50-50000","Caspian Tern"
"Ocean",5147,"1069-45922","Caspian Tern"
"Lakes",3108,"50-23496","Caspian Tern"
"Rivers",10244,"50-50000","Caspian Tern"
"Elevation",15341,"50-47961","Caspian Tern"
"Aspect",2089,"1069-5147","Caspian Tern"
"Slope",8205,"50-45922","Caspian Tern"
"Precipitation",18000,"1000-48000","Caspian Tern"
"Developed high intensity",37767,"8205-50000","Caspian Tern"
"Max temperature",22000,"1000-50000","Caspian Tern"
"Barren land",5147,"50-37767","Caspian Tern"
"Deciduous forest",15341,"50-50000","Caspian Tern"
"Evergreen forest",17380,"2089-47961","Caspian Tern"
"Mixed forest",11263,"1069-43884","Caspian Tern"
"Shrub scrub",19418,"1069-50000","Caspian Tern"
"Grassland herbaceous",19418,"50-50000","Caspian Tern"
"Pasture hay",11263,"5147-27573","Caspian Tern"
"Developed low intensity",17380,"1069-47961","Cassin's Finch"
"Cultivated crop",17380,"1069-47961","Cassin's Finch"
"Woody wetland",23496,"1069-50000","Cassin's Finch"
"Emergent wetland",11263,"1069-47961","Cassin's Finch"
"Ocean",21457,"50-50000","Cassin's Finch"
"Lakes",17380,"50-50000","Cassin's Finch"
"Rivers",17380,"50-50000","Cassin's Finch"
"Elevation",15341,"1069-45922","Cassin's Finch"
"Aspect",23496,"1069-50000","Cassin's Finch"
"Slope",8205,"1069-47961","Cassin's Finch"
"Precipitation",14000,"2000-46000","Cassin's Finch"
"Developed high intensity",21457,"50-47961","Cassin's Finch"
"Max temperature",11000,"1000-42000","Cassin's Finch"
"Barren land",19418,"50-50000","Cassin's Finch"
"Deciduous forest",15341,"1069-47961","Cassin's Finch"
"Evergreen forest",6166,"50-17380","Cassin's Finch"
"Mixed forest",41845,"17380-50000","Cassin's Finch"
"Shrub scrub",21457,"50-50000","Cassin's Finch"
"Grassland herbaceous",15341,"50-47961","Cassin's Finch"
"Pasture hay",19418,"50-50000","Cassin's Finch"
"Developed low intensity",19418,"50-50000","Cassin's Kingbird"
"Cultivated crop",21457,"1069-50000","Cassin's Kingbird"
"Woody wetland",23496,"4128-47961","Cassin's Kingbird"
"Emergent wetland",11263,"50-45922","Cassin's Kingbird"
"Ocean",17380,"50-50000","Cassin's Kingbird"
"Lakes",17380,"50-50000","Cassin's Kingbird"
"Rivers",19418,"50-50000","Cassin's Kingbird"
"Elevation",19418,"50-50000","Cassin's Kingbird"
"Aspect",27573,"1069-50000","Cassin's Kingbird"
"Slope",15341,"2089-45922","Cassin's Kingbird"
"Precipitation",26000,"3000-50000","Cassin's Kingbird"
"Developed high intensity",23496,"50-50000","Cassin's Kingbird"
"Max temperature",12000,"1000-46000","Cassin's Kingbird"
"Barren land",27573,"1069-50000","Cassin's Kingbird"
"Deciduous forest",29612,"2089-50000","Cassin's Kingbird"
"Evergreen forest",19418,"50-50000","Cassin's Kingbird"
"Mixed forest",15341,"1069-47961","Cassin's Kingbird"
"Shrub scrub",33690,"2089-50000","Cassin's Kingbird"
"Grassland herbaceous",35729,"7186-50000","Cassin's Kingbird"
"Pasture hay",21457,"50-50000","Cassin's Kingbird"
"Developed low intensity",10244,"1069-47961","Cassin's Sparrow"
"Cultivated crop",13302,"1069-50000","Cassin's Sparrow"
"Woody wetland",17380,"1069-50000","Cassin's Sparrow"
"Emergent wetland",3108,"1069-8205","Cassin's Sparrow"
"Ocean",21457,"50-50000","Cassin's Sparrow"
"Lakes",15341,"50-50000","Cassin's Sparrow"
"Rivers",19418,"1069-50000","Cassin's Sparrow"
"Elevation",17380,"50-50000","Cassin's Sparrow"
"Aspect",23496,"1069-50000","Cassin's Sparrow"
"Slope",8205,"1069-47961","Cassin's Sparrow"
"Precipitation",20000,"1000-50000","Cassin's Sparrow"
"Developed high intensity",17380,"50-50000","Cassin's Sparrow"
"Max temperature",16000,"1000-50000","Cassin's Sparrow"
"Barren land",39806,"19418-50000","Cassin's Sparrow"
"Deciduous forest",13302,"50-47961","Cassin's Sparrow"
"Evergreen forest",11263,"1069-47961","Cassin's Sparrow"
"Mixed forest",19418,"1069-50000","Cassin's Sparrow"
"Shrub scrub",17380,"1069-50000","Cassin's Sparrow"
"Grassland herbaceous",15341,"1069-50000","Cassin's Sparrow"
"Pasture hay",23496,"1069-50000","Cassin's Sparrow"
"Developed low intensity",10244,"50-47961","Cassin's Vireo"
"Cultivated crop",13302,"1069-47961","Cassin's Vireo"
"Woody wetland",23496,"50-50000","Cassin's Vireo"
"Emergent wetland",23496,"50-50000","Cassin's Vireo"
"Ocean",23496,"1069-50000","Cassin's Vireo"
"Lakes",15341,"50-47961","Cassin's Vireo"
"Rivers",23496,"1069-50000","Cassin's Vireo"
"Elevation",11263,"50-47961","Cassin's Vireo"
"Aspect",23496,"1069-50000","Cassin's Vireo"
"Slope",11263,"50-43884","Cassin's Vireo"
"Precipitation",20000,"1000-50000","Cassin's Vireo"
"Developed high intensity",19418,"1069-50000","Cassin's Vireo"
"Max temperature",16000,"1000-48000","Cassin's Vireo"
"Barren land",17380,"50-50000","Cassin's Vireo"
"Deciduous forest",15341,"1069-50000","Cassin's Vireo"
"Evergreen forest",2089,"1069-6166","Cassin's Vireo"
"Mixed forest",23496,"50-50000","Cassin's Vireo"
"Shrub scrub",31651,"10244-50000","Cassin's Vireo"
"Grassland herbaceous",19418,"50-50000","Cassin's Vireo"
